CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO
c4,음식점,노조미,제주특별자치도 제주시 국기로2길 2-3,2023,13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00000
c4,음식점,노형수산시장,제주특별자치도 제주시 한라대학로 7,2023,36,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,36.00000
c4,음식점,녹나무,제주특별자치도 제주시 노연로 12,2023,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.00000
c4,음식점,녹원전통찻집,제주특별자치도 제주시 중앙로 122-2,2023,28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28.00000
c4,음식점,논짓물식당,제주특별자치도 제주시 신대로12길 41,2023,9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.00000
c4,음식점,놀놀플레이그라운드카페,제주특별자치도 제주시 구좌읍 비자림로 2228 b동,2023,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00000
c4,음식점,농부파스타집,제주특별자치도 제주시 구좌읍 해맞이해안로 518,2023,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00000
c4,음식점,누룽지식당,제주특별자치도 제주시 고산동산6길 15-1,2023,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000
c4,음식점,누바비치,제주특별자치도 서귀포시 대포로 148-15,2023,65,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,65.00000
c4,음식점,누옥,제주특별자치도 제주시 삼성로5길 21-1,2023,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
c4,음식점,누이밥집,제주특별자치도 서귀포시 중산간서로 695,2023,4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000
c4,음식점,뉴남원분식,제주특별자치도 서귀포시 남원읍 태위로679번길 2,2023,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00000
c4,음식점,뉴저지카페,제주특별자치도 제주시 한경면 녹차분재로 565,2023,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000
c4,음식점,느지리식식당,제주특별자치도 제주시 한림읍 상한로 4,2023,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00000
c4,음식점,늘보의작업실,제주특별자치도 제주시 구좌읍 종달로1길 36-1,2023,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000
c4,음식점,늘봄흑돼지,제주특별자치도 제주시 한라대학로 12,2023,37,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37.00000
c4,음식점,늘소담,제주특별자치도 제주시 탑동로 31,2023,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000
c4,음식점,늘푸른농원 연리지가든,제주특별자치도 제주시 한경면 두조로 190-20,2023,182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,182.00000
c4,음식점,니모메빈티지라운지,제주특별자치도 제주시 일주서로 7335-8,2023,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00000
