ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202312,오태식해바라기치킨 화북삼양점,제주시,화북동,제주시내,피자.치킨.햄버거,치킨,0.11,0.28,0,0,0.02,0.09,0.08,2561,다다13a03a
202312,호봉토스트화북점,제주시,화북동,제주시내,간식,샌드위치/토스트,0.04,0.2,0,0,0.01,0.07,-0.03,9036,다다13a03b
202312,제주포차,제주시,이도2동,제주시내,한식,단품요리 전문,0.28,0.19,0,0.01,0.05,0.07,-0.03,9037,다다09b01a
202312,천하대장군,제주시,이도2동,제주시내,한식,가정식,0.12,0.24,0,0,0.02,0.08,0.02,5006,다다09b00b
202312,고스란히,제주시,이도2동,제주시내,한식,단품요리 전문,0.19,1.59,0.01,0.11,0.04,0.63,-0.03,9078,다다10a00a
202312,손두부촌,제주시,이도2동,제주시내,한식,단품요리 전문,0.56,1.51,0.01,0.08,0.1,0.57,0.3,489,다다10b00b
202312,스시키요,제주시,이도2동,제주시내,아시아음식,일식,0.46,0.12,0.08,0.06,0.15,0.09,-0.06,10258,다다10b00b
202312,교촌치킨 일도점,제주시,일도2동,제주시내,패스트푸드,치킨,0.79,1.79,0.01,0.06,0.14,0.65,0,6140,다다10b01b
202312,만호,제주시,이도2동,제주시내,한식,가정식,8.61,4.13,0.11,0.12,1.46,1.49,-0.25,13770,다다11a01a
202312,매력식당,제주시,아라동,제주시내,한식,가정식,0.33,0.95,0.05,0.56,0.1,0.81,0.12,1739,다나12a95b
202312,주구장창,서귀포시,천지동,서귀포시내,한식,단품요리 전문,0.65,0.68,0,0.02,0.11,0.24,-0.1,11667,다나12a73b
202312,미화해산물,서귀포시,동홍동,서귀포시내,한식,회,0.16,0.28,0.02,0.17,0.04,0.24,-0.1,11668,다나12b74b
202312,불티나흑돼지,서귀포시,중앙동,서귀포시내,아시아음식,돼지고기,0,0,0.07,0.09,0.07,0.08,-0.03,8553,다나13a73b
202312,광양해장국집,제주시,이도2동,제주시내,한식,가정식,2.88,8.46,0.07,0.56,0.53,3.33,-0.41,14468,다다10a01a
202312,청춘감성쌀핫도그제주법원점,제주시,이도2동,제주시내,간식,베이커리,0.15,1.07,0,0,0.02,0.36,0.24,703,다다10b00a
202312,요거프레소제주일도점,제주시,일도2동,제주시내,간식,커피,0.03,0.16,0,0,0.01,0.05,-0.02,8110,다다10b01b
202312,국수집,제주시,아라동,제주시내,한식,면류,0,0.01,0,0,0,0,0,6141,다다11a00a
202312,봉수아피자아라점,제주시,아라동,제주시내,패스트푸드,피자,0.05,0.16,0.01,0.03,0.01,0.08,0.09,2313,다나12b95b
202312,맨도롱해장국,서귀포시,천지동,서귀포시내,한식,해장국,0.23,0.68,0.23,1.39,0.25,1.45,-0.26,13839,다나12a73a
202312,일구칠사뼈감탕,제주시,아라동,제주시내,한식,가정식,1.49,4.29,0.01,0.17,0.25,1.58,0.53,173,다나13b96a
202312,이디야제주삼화점,제주시,삼양동,제주시내,음료,커피,0.95,8.07,0.01,0.15,0.16,2.83,-0.7,14852,다다14b02b
202312,도리밥집,서귀포시,영천동,서귀포시내,한식,가정식,0.08,0.47,0,0,0.01,0.16,-0.03,8554,다나14a78a
