,숙박업명,숙박업주소,숙박위도,숙박경도,구역,대분류명,중분류명,식당명,도시명,행정동명,식당주소,식당위도,식당경도,검색량합계값,제주도민매출금액비율,외지인매출금액비율,전체매출금액비율,숙박_식당 거리
79,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,함덕고등어쌈밥,제주시,조천읍,제주 제주시 조천읍 조함해안로 530,33.542469223291,126.669503628407,784,0.27,0.32,0.33999999999999997,3.034826287192898
68,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,예소담,제주시,조천읍,제주 제주시 조천읍 신북로 544,33.54114257,126.6677044,652,2.4699999999999998,0.81,1.01,2.884999380765391
57,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,계절식탁향토,제주시,조천읍,제주 제주시 조천읍 조함해안로 510,33.542544527586,126.667401330671,541,0.8400000000000001,2.4299999999999997,2.16,2.8399582861805457
69,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,옥이네밥상,제주시,조천읍,제주 제주시 조천읍 일주동로 1094,33.53655058,126.6574179,524,0.12,0.0,0.01,2.108016839585107
63,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,김치찌개,보배쌤보리김치와게장,제주시,조천읍,제주 제주시 조천읍 신북로 409,33.54408898,126.6542005,327,4.26,0.7,1.07,1.607978997775152
62,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,베이커리.디저트,커피,배스킨라빈스제주함덕점,제주시,조천읍,제주 제주시 조천읍 조함해안로 526,33.54249961,126.6689756,305,2.64,0.62,0.86,2.985776449049715
82,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,화로위,제주시,조천읍,제주 제주시 조천읍 함덕19길 9,33.54125043,126.6701898,174,0.59,1.28,1.3,3.1118714758849615
60,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,다니쉬,제주시,조천읍,제주 제주시 조천읍 함덕16길 56,33.54212706,126.6636841,158,0.39,0.15,0.18,2.501638661090821
91,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,카페,커피,더클리프,서귀포시,예래동,제주 서귀포시 중문관광로 154-17,33.24479442,126.417791,22739,18.43,32.94,32.49999999999999,13.117783065028336
89,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,일식.회,회,고집돌우럭중문점,서귀포시,예래동,제주 서귀포시 일주서로 879,33.25797986,126.4167056,15783,9.120000000000001,30.61,29.580000000000002,13.241862205153314
127,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,면류,중문수두리보말칼국수,서귀포시,중문동,제주 서귀포시 천제연로 190,33.25158308,126.4248688,13092,5.84,11.71,11.54,12.45132976875955
144,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,단품요리 전문,호꼼샌드,서귀포시,중문동,제주 서귀포시 천제연로207번길 7,33.25238218,126.4267431,7240,0.21,0.11000000000000001,0.12000000000000001,12.279075342913268
112,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,가정식,은희네해장국,서귀포시,중문동,제주 서귀포시 중문관광로 348,33.2510389,126.4317461,6863,16.47,5.800000000000001,7.02,11.810893461605454
124,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,가정식,중문가람돌솥밥,서귀포시,중문동,제주 서귀포시 중문관광로 332,33.24965422,126.4313309,6564,10.8,14.97,15.110000000000001,11.848256664543706
